100
0,55,64
0,63,77
0,79,35
0,89,55
1,3,19
1,10,9
1,23,46
1,26,16
1,29,45
1,41,10
1,51,48
1,52,67
1,59,27
2,31,70
2,64,70
2,86,53
3,9,59
3,20,99
4,12,42
4,36,30
4,55,88
4,82,18
5,37,81
5,39,1
5,40,10
5,73,12
5,97,5
6,7,36
6,35,12
6,68,11
6,90,84
7,3,62
7,14,51
7,54,16
7,69,61
8,57,17
8,64,79
8,67,35
8,85,33
9,8,59
9,18,94
9,19,69
9,58,60
9,82,24
9,86,44
10,25,78
10,33,58
10,36,91
10,42,30
10,62,73
10,76,2
11,39,34
11,51,7
12,31,78
12,47,68
12,67,17
12,74,12
12,95,90
13,31,73
13,43,47
13,70,70
14,21,28
14,99,33
15,12,84
15,36,68
15,58,78
15,89,17
16,1,20
16,3,61
16,23,10
16,69,87
16,77,12
16,80,57
18,13,64
18,44,20
18,64,68
18,71,17
18,76,48
18,86,4
19,29,24
19,59,10
19,73,55
19,94,70
20,86,10
21,15,55
21,60,76
21,66,70
21,76,81
21,93,32
21,96,48
22,10,45
22,17,16
22,63,11
22,98,81
23,21,76
23,28,37
23,35,12
23,36,71
23,45,91
23,51,5
23,54,1
23,61,21
23,85,79
24,13,24
24,17,76
24,22,76
24,72,37
24,91,60
26,30,9
26,34,94
26,68,66
26,72,48
26,84,99
26,86,92
26,97,44
27,20,37
27,46,60
27,53,20
27,54,25
27,56,28
27,77,35
28,29,28
28,31,97
28,42,35
28,59,8
28,83,43
28,93,36
28,96,63
28,98,63
29,30,72
29,47,19
29,49,26
29,62,52
30,8,2
30,13,25
30,96,93
31,54,35
31,75,74
31,87,57
32,2,73
32,9,19
32,58,63
32,84,13
32,87,41
32,89,30
33,26,74
33,45,13
33,75,4
33,93,65
33,95,93
33,99,53
34,5,73
34,14,31
34,35,43
34,49,23
34,50,45
34,59,56
34,66,72
35,11,75
35,28,22
35,30,46
35,45,91
35,69,31
35,76,94
35,92,98
35,95,95
35,97,49
36,9,41
36,11,26
36,32,71
36,62,4
37,22,48
37,32,48
37,33,11
37,38,42
37,40,5
37,64,74
37,71,90
37,73,57
37,90,49
37,93,85
38,6,43
38,27,12
38,48,39
38,59,7
38,81,10
39,12,86
39,15,29
39,18,42
39,81,2
39,97,33
40,0,85
40,3,50
40,13,12
40,15,78
40,46,9
40,67,36
40,94,14
41,4,21
41,12,4
41,21,47
41,31,32
41,98,74
42,37,83
42,48,24
42,56,5
42,99,82
43,10,83
44,19,47
44,24,66
45,0,40
45,2,77
45,14,56
45,32,55
45,44,90
45,46,22
45,57,77
45,82,54
46,0,44
46,15,73
46,21,70
47,1,84
47,26,62
47,46,69
47,63,6
47,79,91
47,83,84
48,50,90
48,77,99
49,8,19
49,20,26
49,37,23
49,39,20
50,12,26
50,24,94
50,33,44
50,68,95
50,73,49
50,82,71
50,86,49
50,98,86
51,2,95
51,30,19
51,48,4
51,66,73
51,95,13
51,96,22
52,19,6
53,6,20
53,10,55
53,59,30
53,64,4
53,68,85
53,73,41
53,87,18
53,95,36
54,3,6
54,9,98
54,28,65
54,43,76
54,63,25
55,13,41
55,67,90
55,69,73
55,84,21
56,11,67
56,51,52
56,84,1
56,90,23
57,12,13
57,26,43
57,35,6
57,40,61
57,66,37
57,93,31
58,19,39
58,22,15
58,30,54
58,42,41
58,52,71
58,73,88
58,75,33
60,25,89
60,33,10
60,38,13
60,42,86
60,58,29
60,66,60
60,78,13
61,14,94
61,53,33
62,58,89
62,75,50
63,17,13
63,30,30
63,64,61
64,28,65
64,51,34
64,59,53
64,90,95
64,99,34
65,3,75
65,12,39
65,25,78
65,55,17
65,83,63
65,89,19
66,9,91
66,15,13
66,26,53
66,40,25
66,62,54
66,75,1
68,17,99
69,21,47
69,67,97
69,72,43
69,97,67
70,6,76
70,26,54
70,49,86
70,53,69
70,62,60
70,96,93
71,19,41
71,34,46
71,55,44
71,89,84
72,5,52
72,16,36
72,38,1
73,1,51
73,10,24
73,57,4
73,61,60
73,78,60
74,1,50
74,20,33
74,32,1
74,49,38
74,69,59
74,95,80
75,55,23
75,59,70
75,78,11
75,82,10
76,11,17
76,22,72
76,36,36
76,52,96
76,56,42
76,81,12
77,26,82
77,42,12
77,43,20
77,49,67
77,70,81
78,11,30
78,16,99
78,21,38
78,23,98
78,24,84
78,46,53
78,92,56
78,99,94
79,6,11
79,9,35
79,11,19
79,42,79
79,99,54
80,28,37
80,47,71
80,50,89
80,83,15
80,87,68
81,87,39
81,99,49
82,28,11
82,31,28
82,42,9
82,56,56
82,79,66
82,88,21
82,89,58
83,95,19
83,99,54
84,75,62
84,78,53
85,6,45
85,46,30
85,51,70
86,3,51
86,11,80
86,32,58
86,75,38
86,78,84
87,10,15
87,41,62
87,82,87
87,92,97
87,95,17
87,96,9
88,30,25
88,46,52
89,24,78
89,49,11
89,75,80
89,92,32
90,25,90
90,29,71
90,32,28
90,38,54
90,73,29
91,33,58
91,48,77
91,62,81
91,68,45
91,73,87
92,21,8
92,33,95
92,65,31
92,69,98
92,76,1
92,90,30
93,8,49
93,40,78
93,60,61
93,61,71
93,62,78
93,71,13
94,9,11
95,21,38
95,39,42
95,59,49
95,60,42
95,71,67
95,86,35
95,92,62
96,24,34
96,49,69
96,89,24
97,13,72
97,27,98
97,34,58
97,36,59
97,53,32
97,60,86
97,70,88
97,86,59
98,9,54
98,17,39
98,19,59
98,34,12
99,2,76
99,53,46
99,56,93
99,66,52
